issn,revista,qualis
17740746,AGRONOMY FOR SUSTAINABLE DEVELOPMENT,A1
00021962,AGRONOMY JOURNAL,A2
14350645,AGRONOMY JOURNAL,A2
23591455,AGRONOMY SCIENCE AND BIOTECHNOLOGY,C
2525877X,AGROPAMPA REVISTA DE GESTAO DO AGRONEGOCIO,B4
01030779,AGROPECUARIA CATARINENSE,C
18086845,AGROPECUARIA CIENTIFICA NO SEMIARIDO,C
01007467,AGROPECUARIA TECNICA,C
21824401,AGROTEC,C
01033816,AGROTROPICA,C
23407743,AGUA Y TERRITORIO,A3
23408472,AGUA Y TERRITORIO,A3
09217126,AI COMMUNICATIONS,B3
09515666,AI SOCIETY,A2
00011452,AIAA JOURNAL,A1
22537325,AICA,C
00011541,AICHE JOURNAL,A1
11210095,AIDAINFORMAZIONI REVISTA DI SCIENZE DELLINFORMAZIONE,B4
02699370,AIDS,A1
09540121,AIDS CARE,A2
13600451,AIDS CARE,A2
10872914,AIDS PATIENT CARE AND STDS,A1
08892229,AIDS RESEARCH AND HUMAN RETROVIRUSES,A4
24712086,AIMS AGRICULTURE AND FOOD,B1
23751495,AIMS BIOENGINEERING,B3
23720352,AIMS ENVIRONMENTAL SCIENCE,B4
21583226,AIP ADVANCES,A4
0094243X,AIP CONFERENCE PROCEEDINGS,B4
15517616,AIP CONFERENCE PROCEEDINGS,B4
18739318,AIR QUALITY ATMOSPHERE AND HEALTH,A2
11786221,AIR SOIL AND WATER RESEARCH,B1
1555385X,AIR SPACE POWER JOURNAL,B2
00022667,AIRCRAFT ENGINEERING,C
01018027,AJURIS,B1
21719624,ALABE,B1
21746915,REVISTA IBEROAMERICANA DE EDUCACION E INVESTIGACION EN ENFERMERIA,B3
07174055,ALASBIMN JOURNAL,C
19839472,ALBUQUERQUE REVISTA DE HISTORIA,B3
14132591,ALCANCE,A3
21757402,ALCEU,B1
15188728,ALCEU,B1
03115518,ALCHERINGA,B1
07418329,ALCOHOL,A3
07350414,ALCOHOL AND ALCOHOLISM,A1
01456008,ALCOHOLISM CLINICAL AND EXPERIMENTAL RESEARCH,A2
19800436,ALEA,A4
18070299,ALEA ESTUDOS NEOLATINOS,A1
18085148,ALEGRAR,C
24478091,ALEMUR,C
14130394,ALETHEIA,A3
19832087,ALETHEIA,B4
23172096,ALETRIA REVISTA DE ESTUDOS DE LITERATURA,A4
19825153,ALEXANDRIA,A3
19911653,ALEXANDRIA,A3
19815794,ALFA REVISTA DE LINGUISTICA,A1
00025216,ALFA REVISTA DE LINGUISTICA,A1
12262617,ALGAE,A2
22119264,ALGAL RESEARCH,A1
23173971,ALGAZARRA,NP
21585571,ALGORITHMIC FINANCE,A4
01784617,ALGORITHMICA,A3
14320541,ALGORITHMICA,A3
17487188,ALGORITHMS FOR MOLECULAR BIOLOGY,A2
09714693,ALLELOPATHY JOURNAL,B2
03010546,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,B3
01054538,ALLERGY,A1
13989995,ALLERGY,A1
17101492,ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY,B1
22364633,ALMANACK,A1
